,Text,Context,1,2
0,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
1,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
2,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
3,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
4,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
5,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
6,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
7,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
8,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
9,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
10,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
11,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
12,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
13,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
14,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
15,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
16,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
17,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
18,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
19,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
20,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
21,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
22,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
23,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
24,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
25,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
26,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
27,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
28,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
29,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
30,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
31,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
32,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
33,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
34,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
35,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
36,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
37,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
38,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
39,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
40,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
41,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
42,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
43,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
44,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
45,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
46,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
47,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
48,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
49,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
50,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
