,doc_id,sentence_id,sentence_text,sno
0,-1068996389,0,"['U', 'TD', 'th', '(', '1/4', ')', 'SdtThyS', 'TD', 'th', 'd13Th', '.']",1
1,-1254246013,0,"['Extended', 'Data', 'Fig.', '9', '|', 'See', 'next', 'page', 'for', 'caption', '.']",2
2,-1342134179,0,"['_', 'D', 'td', 'Th', '(', '1/4', ')', 'epsilonI', 'td', 'Th', 'eta', 'th', 'rho', 'd', 'ThD', 'td', 'Th', 'd3Th', '.']",3
3,-1392419885,0,"['Our', 'model', ',', 'named', 'SIDARTHE', ',', 'discriminates', 'between', 'detected', 'parameters', 'based', 'on', 'data', 'from', '20', 'February', '2020', '(', 'day', '1', ')', 'to', '5', 'April', 'and', 'undetected', 'cases', 'of', 'infection', 'and', 'between', 'different', 'severity', 'of', 'illness', '(', 'SOI', ')', ',', 'non-life-threatening', 'cases', '(', 'asymptomatic', 'and', 'pauci2020', '(', 'day', '46', ')', 'and', 'show', 'how', 'the', 'progressive', 'restrictions', ',', 'includsymptomatic', ';', 'minor', 'and', 'moderate', 'infection', ')', 'and', 'potentially', 'lifeing', 'the', 'most', 'recent', 'lockdown', 'progressively', 'enforced', 'since', '9', 'March', '2020', ',', 'have', 'affected', 'the', 'spread', 'of', 'the', 'epidemic', '.']",4
4,-1392419885,1,"['We', 'also', 'model', 'threatening', 'cases', '(', 'major', 'and', 'extreme', ')', 'that', 'require', 'ICU', 'admission', '.']",5
5,-1392419885,2,"['possible', 'longer-term', 'scenarios', 'illustrating', 'the', 'effects', 'of', 'different', 'The', 'total', 'population', 'is', 'partitioned', 'into', 'eight', 'stages', 'of', 'discountermeasures', ',', 'including', 'social', 'distancing', 'and', 'population-wide', 'ease', ':', 'S', ',', 'susceptible', '(', 'uninfected', ')', ';', 'I', ',', 'infected', '(', 'asymptomatic', 'or', 'testing', ',', 'to', 'contain', 'SARS-CoV-2', '.']",6
6,-1392419885,3,"['pauci-symptomatic', 'infected', ',', 'undetected', ')', ';', 'D', ',', 'diagnosed', '(', 'asymptomatic', 'infected', ',', 'detected', ')', ';', 'A', ',', 'ailing', '(', 'symptomatic', 'infected', ',', 'the', 'progressive', 'introduction', 'of', 'increased', 'restrictions', '.']",7
7,-1392419885,4,"['On', 'day', '1', ',', 'undetected', ')', ';', 'R', ',', 'recognized', '(', 'symptomatic', 'infected', ',', 'detected', ')', ';', 'T', ',', 'threatened', '(', 'infected', 'with', 'life-threatening', 'symptoms', ',', 'detected', ')', ';', 'the', 'basic', 'reproduction', 'number', 'was', 'R0', '=', '2.38', ',', 'which', 'resulted', 'in', 'a', 'H', ',', 'healed', '(', 'recovered', ')', ';', 'E', ',', 'extinct', '(', 'dead', ')', '.']",8
8,-1392419885,5,"['The', 'interactions', 'among', 'substantial', 'outbreak', '.']",9
9,-1392419885,6,"['On', 'day', '4', ',', 'R0', '=', '1.66', 'as', 'a', 'result', 'of', 'the', 'introducthese', 'stages', 'are', 'shown', 'in', 'Fig.', '1', '.']",10
10,-1392419885,7,"['We', 'omit', 'the', 'probability', 'rate', 'of', 'tion', 'of', 'basic', 'social', 'distancing', ',', 'awareness', 'of', 'the', 'epidemic', ',', 'hygiene', 'and', 'behavioral', 'recommendations', ',', 'and', 'early', 'measures', 'by', 'the', 'Italian', 'becoming', 'susceptible', 'again', 'after', 'having', 'recovered', 'from', 'the', 'infection', '.']",11
11,-1392419885,8,"['Although', 'anecdotal', 'cases', 'are', 'found', 'in', 'the', 'literature27', ',', 'the', 'reingovernment', '(', 'for', 'example', ',', 'closing', 'schools', ')', '.']",12
12,-1392419885,9,"['At', 'day', '12', ',', 'asymptomfection', 'rate', 'value', 'appears', 'negligible', '.']",13
13,-1392419885,10,"['A', 'detailed', 'discussion', 'of', 'the', 'atic', 'individuals', 'were', 'almost', 'no', 'longer', 'detected', ',', 'and', 'screening', 'was', 'model', 'considerations', 'and', 'parameters', 'is', 'provided', 'in', 'the', 'Methods', '.']",14
14,-1392419885,11,"['focused', 'on', 'symptomatic', 'individuals', '(', 'leading', 'to', 'R0', '=', '1.80', ')', '.']",15
15,-1392419885,12,"['On', 'day', '.']",16
16,-1410587238,0,"['Model', 'sensitivity', 'analysis', '.']",17
17,-1410587238,1,"['We', 'now', 'investigate', 'the', 'sensitivity', 'of', 'the', 'model', 'to', 'parameter', 'variations', ',', 'focusing', 'in', 'particular', 'on', 'the', 'parameters', 'that', 'can', 'be', 'influenced', 'by', 'policymakers', ':', 'transmission', 'parameters', ',', 'related', 'to', 'lockdown', 'measures', '(', 'alpha', ',', 'beta', ',', 'gamma', 'and', 'delta', ')', ',', 'and', 'testing', 'parameters', ',', 'related', 'to', 'testing', 'and', 'contact', 'tracing', 'policies', '(', 'epsilon', ',', 'theta', ')', '.']",18
18,-1410587238,2,"['To', 'illustrate', 'the', 'effect', 'of', 'changing', 'the', 'parameter', 'values', 'in', 'the', 'model', ',', 'our', 'sensitivity', 'analysis', 'results', 'are', 'reported', 'in', 'Extended', 'Data', 'Figs', '.']",19
