,doc_id,sentence_id,sentence_text,sno
0,-100047078,0,"['6.1.4', 'Workforce', 'shortages', 'The', 'effort', 'to', 'expand', 'production', 'capacity', 'to', 'be', 'able', 'to', 'treat', 'COVID-19', 'patients', 'has', 'been', 'accompanied', 'by', 'the', 'need', 'to', 'stop', 'most', 'elective', 'health', 'care', 'activities', 'and', 'shift', 'personnel', 'to', 'the', 'acute', 'and', 'intensive', 'care', 'of', 'COVID-19', 'patients', '.']",1
1,-100047078,1,"['This', 'has', 'meant', 'also', 'increasing', 'working', 'hours', 'and', 'length', 'of', 'shifts', 'for', 'medical', 'and', 'nursing', 'staff', 'on', 'duty', '.']",2
2,-100047078,2,"['The', 'emergency', 'magnified', ',', 'therefore', ',', 'all', 'the', 'negative', 'consequences', 'of', 'the', 'extensive', 'underfunding', 'of', 'the', 'Italian', 'health', 'care', 'system', 'and', 'of', 'the', 'stop', 'in', 'workforce', 'turnover', '.']",3
3,-100047078,3,"['Italy', ',', 'as', 'many', 'other', 'OECD', 'countries', ',', 'had', 'been', 'suffering', 'from', 'both', 'workforce', 'shortages', 'in', 'the', 'health', 'care', 'sector', '(', 'CERGAS', 'Bocconi', ',', '2019', ')', 'and', 'an', 'ageing', 'medical', 'workforce', '(', 'OECD', ',', '2019', ')', 'for', 'some', 'time', '.']",4
4,-100047078,4,"['According', 'to', 'the', 'OECD', 'Health', 'at', 'a', 'Glance', 'Indicators', '(', 'OECD', ',', '2019', ')', ',', 'in', '2017', 'Italy', 'had', 'the', 'largest', 'share', '(', '55', 'vs', '34', '%', 'OECD', 'average', ')', 'of', 'medical', 'doctors', 'aged', '55', 'and', 'over', 'among', 'all', 'OECD', 'countries', '-', 'a', 'share', 'which', 'increased', 'by', '36', '%', 'between', '2000', 'and', '2017', '.']",5
5,-100047078,5,"['However', ',', 'the', 'issue', 'of', 'workforce', 'shortages', 'is', 'especially', 'true', 'in', 'the', 'case', 'of', 'nurses', '.']",6
6,-100047078,6,"['Italy', 'has', 'in', 'fact', 'fewer', 'nurses', 'than', 'nearly', 'all', 'western', 'European', 'countries', '(', 'excluding', 'Spain', ')', ',', 'with', '5.8', 'nurses', 'per', '1000', 'population', 'compared', 'to', 'the', 'European', 'average', 'of', '8.5', '.']",7
7,-100047078,7,"['And', 'while', 'Italy', 'fares', 'better', 'compared', 'to', 'their', 'European', 'peers', 'in', 'terms', 'of', 'medical', 'professionals', '(', '4.0', 'doctors', 'per', '1000', 'population', 'compared', 'with', 'the', 'EU', 'average', 'of', '3.6', ')', ',', 'Italy', 'has', 'the', 'lowest', 'doctor-to-nurse', 'ratio', 'in', 'the', 'OECD', '(', '1.4', 'nurses', 'per', 'doctor', ')', '(', 'OECD', '/', 'European', 'Observatory', 'on', 'Health', 'Systems', 'and', 'Policies', ',', '2019', ')', '.']",8
8,-100047078,8,"['Despite', 'recent', 'attempts', 'by', 'the', 'Italian', 'government', 'to', 'address', 'this', 'imbalance', 'through', 'increasing', 'the', 'number', 'of', 'students', 'training', 'to', 'become', 'nurse', '(', 'the', 'number', 'increased', 'to', '13,000', 'in', '2014', 'from', 'a', 'low', '3100', ')', ',', 'the', 'COVID-19', 'crisis', 'has', 'heightened', 'the', 'shortage', 'of', 'health', 'care', 'professionals', 'suffered', 'by', 'the', 'SSN', ',', 'with', 'a', 'pre-COVID-19', 'incidence', 'of', 'medical', 'personnel', 'of', 'about', '95', 'workers', 'per', '10,000', 'inhabitants', '(', '57', 'nurses', ',', '19', 'doctors', 'and', '19', 'other', 'technical', 'staff', ')', '.']",9
9,-100047078,9,"['The', 'shortage', 'of', 'nurses', 'and', 'medical', 'doctors', 'front', 'lining', 'the', 'emergency', 'response', ',', 'also', 'in', 'light', 'of', 'the', 'high', 'number', 'of', 'nurses', 'and', 'medical', 'professionals', 'testing', 'positive', 'to', 'COVID-19', '(', 'Bellizzi', 'et', 'al', '.,', '2020', ')', ',', 'forced', 'the', 'Government', 'to', 'introduce', 'several', 'measures', '(', 'DL', ',', '2020a', ',', '2020b', ';', 'DPCM', ',', '2020b', ')', 'in', 'order', 'to', 'face', 'the', 'rapidly', 'rising', 'demand', 'of', 'extra', 'medical', 'and', 'other', 'health', 'care', 'personnel', '.']",10
10,-100047078,10,"['These', 'measures', 'included', 'inter-regional', 'redistribution', 'of', 'health', 'care', 'personnel', ',', 'the', 're-hiring', 'of', 'retired', 'medics', ',', 'nurses', 'and', 'other', 'health', 'care', 'professionals', ',', 'the', 'creation', 'of', 'faster', 'recruitment', 'tracks', ',', 'the', 'possibility', 'to', 'employ', 'personnel', 'on', 'a', 'freelance', 'basis', ',', 'the', 'hiring', 'of', '20,000', 'health', 'care', 'professionals', '(', '3.5', '%', 'growth', 'in', 'the', 'health', 'workforce', ')', ':', 'the', 'new', 'hires', 'comprised', 'of', 'more', 'than', '4300', 'additional', 'medical', 'doctors', ',', 'mainly', 'anaesthesiologists', ';', 'around', '9700', 'nurses', ';', 'and', '6000', 'other', 'health', 'care', 'professionals', ',', 'mainly', 'technical', 'personnel', '(', 'Aimone', 'Gigio', 'et', 'al', '.,', '2020', ')', '.']",11
11,-100047078,11,"['Further', 'measures', 'included', 'the', 'allocation', 'of', '250', 'million', 'EUR', 'to', 'pay', 'for', 'staff', 'overtime', ',', 'the', 'possibility', 'for', 'health', 'care', 'facilities', 'to', 'postpone', 'retirement', 'for', 'eligible', 'staff', ',', 'the', 'possibility', 'for', 'retired', 'doctors', 'and', 'nurses', 'to', 'return', 'to', 'practice', 'on', 'a', 'voluntary', 'basis', '(', 'in', 'the', 'peak', 'of', 'the', 'crisis', 'in', 'https://doi.org/10.1017/S1744133121000141', 'Published', 'online', 'by', 'Cambridge', 'University', 'Press', '.']",12
12,-1045735558,0,"['1Business', 'School', ',', 'University', 'of', 'Edinburgh', ',', 'Edinburgh', ',', 'UK', ',', '2Centre', 'for', 'Health', 'Economics', ',', 'University', 'of', 'York', ',', 'York', ',', 'UK', ',', '3Population', 'Health', 'Science', 'Institute', ',', 'Newcastle', 'University', ',', 'Newcastle', 'Upon', 'Tyne', ',', 'UK', ',', '4sda', 'Bocconi', 'School', 'of', 'Management', ',', 'Bocconi', 'University', ',', 'Milano', ',', 'Italy', ',', '5Department', 'of', 'Social', 'and', 'Political', 'Sciences', ',', 'Bocconi', 'University', ',', 'Milano', ',', 'Italy', ',', '6Department', 'of', 'Psychological', 'and', 'Behavioural', 'Science', ',', 'LSE', ',', 'London', ',', 'UK', ',', '7Local', 'Health', 'Authority', 'of', 'Parma', ',', 'Parma', ',', 'Italy', ',', '8Department', 'of', 'Economics', ',', 'University', 'of', 'Perugia', ',', 'Perugia', ',', 'Italy', ',', '9Department', 'of', 'Juridical', 'and', 'Economic', 'Studies', ',', 'La', 'Sapienza', 'University', 'of', 'Rome', ',', 'Rome', ',', 'Italy', 'and', '10Department', 'of', 'Embeds', ',', 'Management', 'and', 'Health', 'Lab', ',', 'Institute', 'of', 'Management', ',', ""Sant'Anna"", 'Advanced', 'School', 'of', 'Pisa', ',', 'Pisa', ',', 'Italy', '*', 'corresponding', 'author', '.']",13
13,-1045735558,1,"['Email', ':', 'Adriana.castelli@york.ac.uk', '.']",14
14,-1113525426,0,"['Nuti', 'S', ',', 'Vola', 'F', ',', 'Bonini', 'A', 'and', 'Vainieri', 'M', '(', '2016', ')', 'Making', 'governance', 'work', 'in', 'the', 'health', 'care', 'sector', ':', 'evidence', 'from', 'a', ""'"", 'natural', 'experiment', ""'"", 'in', 'Italy', '.']",15
15,-1113525426,1,"['Health', 'Economics', 'Policy', 'and', 'Law', '11', ',', '17-38', '.']",16
16,-1113525426,2,"['OECD', '(', '2019', ')', 'health', 'at', 'a', 'glance', '2019', 'OECD', 'indicators', '.']",17
17,-1113525426,3,"['Paris', ':', 'OECD', 'publishing', '.']",18
18,-1113525426,4,"['Https://doi.org/10.1787/4dd50c09-en', 'OECD', '/', 'European', 'Observatory', 'on', 'Health', 'Systems', 'and', 'Policies', '(', '2019', ')', 'Italy', ':', 'Country', 'Health', 'Profile', '2019', '.']",19
19,-1113525426,5,"['State', 'of', 'Health', 'in', 'the', 'EU', '.']",20
20,-1113525426,6,"['OECD', 'publishing', ',', 'Paris', '/', 'European', 'Observatory', 'on', 'health', 'systems', 'and', 'policies', ',', 'Brussels', ',', 'Https://doi.org/10.1787/', 'Cef1e5cb-en', '.']",21
21,-1113525426,7,"['Oliveira', 'Hashiguchi', 'TC', '(', '2020', ')', 'Bringing', 'health', 'care', 'to', 'the', 'patient', ':', 'An', 'overview', 'of', 'the', 'use', 'of', 'telemedicine', 'in', 'OECD', 'countries', '.']",22
22,-1113525426,8,"['OECD', 'health', 'working', 'papers', '.']",23
23,-1113525426,9,"['Paris', ':', 'OECD', '.']",24
24,-1113525426,10,"['Palladino', 'A', '(', '2020', ')', 'Coronavirus', 'linee', 'guida', 'vecchie', 'e', 'fondi', 'spesi', 'male', '.']",25
25,-1113525426,11,"['Cosi', 'il', 'piano', 'pandemico', ""dell'Italia"", 'e', 'and', 'ato', 'in', 'tilt', '(', 'access', 'limited', 'to', 'subscribers', ')', '.']",26
26,-1113525426,12,"['La', 'Stampa', '.']",27
27,-1113525426,13,"['Petracca', 'F', ',', 'Ciani', 'O', ',', 'Cucciniello', 'M', 'and', 'Tarricone', 'R', '(', '2020', ')', 'Harnessing', 'digital', 'health', 'technologies', 'during', 'and', 'after', 'the', 'COVID-19', 'pandemic', ':', 'context', 'matters', '.']",28
28,-1113525426,14,"['Journal', 'of', 'Medical', 'Internet', 'Research', '22', '(', '12', ')', '.']",29
29,-1113525426,15,"['Doi', ':', '10.2196', '/', '21815', '.']",30
30,-1113525426,16,"['Piacenza', 'M', 'and', 'Turati', 'G', '(', '2014', ')', 'Does', 'fiscal', 'discipline', 'towards', 'subnational', 'governments', 'affect', 'citizens', ""'"", 'well-being', '?']",31
31,-1113525426,17,"['Evidence', 'on', 'health', '.']",32
32,-1113525426,18,"['Health', 'Economics', '23', ',', '199-224', '.']",33
33,-1113525426,19,"['Pisano', 'GP', ',', 'Sadun', 'R', 'and', 'Z', 'M', '(', '2020', ')', 'lessons', 'from', 'Italy', ""'s"", 'response', 'to', 'coronavirus', '.']",34
34,-1113525426,20,"['Harvard', 'Business', 'review', '.']",35
35,-1113525426,21,"['Puente', 'D', '(', '2020', ')', 'coronavirus', '.']",36
36,-1113525426,22,"['Il', 'servizio', 'di', 'report', 'e', 'il', 'Pdf', 'del', 'piano', 'pandemico', 'mai', 'aggiornato', 'dal', '2006', '.']",37
37,-1113525426,23,"['Open', '.']",38
