event_id,event,ctx,dist,sentence_text,tags,entities,chunks
E:-881320914,"presence of  widespread testing and  contact tracing, which would strongly contribute to a rapid resolution of the epidemic",,0,"in the presence of widespread testing and contact tracing , which would strongly contribute to a rapid resolution of the epidemic .","IN,DT,NN,IN,JJ,NN,CC,NN,VBG,,,WDT,MD,RB,VB,TO,DT,JJ,NN,IN,DT,JJ,.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,B-VP,O,B-NP,B-VP,I-VP,I-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,O"
E:859304604,Healthcare workers are more the actual CFR,,0,"Healthcare workers are more the actual CFR ( total number of deaths due to the infection , divided likely to be exposed and their risk of infection is increased , as supby the total number of infected people ) and the perceived CFR ported by reports from China31 ,32 suggesting that disease amplifica ( number of deaths ascribed to the infection , divided by the number tion in healthcare settings will occur despite restrictive measures .","NNP,NNS,VBP,RBR,DT,JJ,NNP,-LRB-,JJ,NN,IN,NNS,JJ,TO,DT,NN,,,VBN,JJ,TO,VB,VBN,CC,PRP$,NN,IN,NN,VBZ,VBN,,,IN,JJ,DT,JJ,NN,IN,JJ,NNS,-RRB-,CC,DT,VBN,NNP,VBN,IN,NNS,IN,NN,CD,VBG,IN,NN,NN,-LRB-,NN,IN,NNS,VBN,TO,DT,NN,,,VBN,IN,DT,NN,NN,IN,NN,NNS,MD,VB,IN,JJ,NNS,.","ORGANIZATION,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O,CAUSE_OF_DEATH,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-NP,I-NP,B-VP,B-ADVP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-PP,B-NP,B-ADJP,B-PP,B-NP,I-NP,O,B-VP,B-ADJP,B-VP,I-VP,I-VP,O,B-NP,I-NP,B-PP,B-NP,B-VP,I-VP,O,B-SBAR,I-SBAR,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-PP,B-NP,B-PP,B-NP,B-NP,B-VP,B-SBAR,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,B-VP,B-PP,B-NP,I-NP,O,B-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-VP,I-VP,B-PP,B-NP,I-NP,O"
E:1133564818,"standard molecular methods to detect the presence of SARS-CoV-2 in respiand nature, predicting for each the timing and magnitude of the ratory samples are based on non-specific real-time polymerase epidemic peak",,0,"Concerning diagnostic tests for COVID-19 , currently , standard molecular methods to detect the presence of SARS-CoV-2 in respiand nature , predicting for each the timing and magnitude of the ratory samples are based on non specific real-time polymerase epidemic peak , including the peak of ICU admissions .","VBG,JJ,NNS,IN,NN,,,RB,,,JJ,JJ,NNS,TO,VB,DT,NN,IN,NN,IN,JJ,NN,,,VBG,IN,DT,DT,NN,CC,NN,IN,DT,JJ,NNS,VBP,VBN,IN,JJ,JJ,JJ,NN,JJ,NN,,,VBG,DT,NN,IN,NN,NNS,.","O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-VP,B-NP,I-NP,B-PP,B-NP,O,B-ADVP,O,B-NP,I-NP,I-NP,B-VP,I-VP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,O,B-VP,B-PP,B-NP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,I-VP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,O"
E:-1012477728,partial implementation of  lockdown measures results in a delay in the peak of infected individuals and patients admitted to the ICU,,0,"According to our findings , a partial implementation of lockdown measures results in a delay in the peak of infected individuals and patients admitted to the ICU , contrasting with an only moderate decrease in the total number of infected individuals and ICU admissions .","VBG,TO,PRP$,NNS,,,DT,JJ,NN,IN,NN,NNS,VBZ,IN,DT,NN,IN,DT,NN,IN,JJ,NNS,CC,NNS,VBD,TO,DT,NN,,,VBG,IN,DT,RB,JJ,NN,IN,DT,JJ,NN,IN,JJ,NNS,CC,NN,NNS,.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-PP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-VP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,O,B-NP,B-VP,B-PP,B-NP,I-NP,O,B-VP,B-PP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,O"
E:49835453,"life-threatening symptoms, whose nominal values are mu=0",,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
E:1501142740,"relevant symptoms, whose nominal values are zeta=",,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
E:1070247140,"tau, whose nominal value is",,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
E:542665628,"tau, whose nominal value is",,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
E:1768449968,tau = 0.0100,,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
E:-101166514,tau =,,0,"Sensitivity analysis showing the effect of varying , after day 50 : the worsening coefficients zeta and eta leading to clinically relevant symptoms , whose nominal values are zeta = eta =0 .0250 ( row a ) ; the worsening coefficients mu and nu leading to life-threatening symptoms , whose nominal values are mu =0 .0080 and nu = 0.0150 ( row b ) ; the healing coefficient lambda , whose nominal value is lambda =0 .0800 ( row c ) ; the healing coefficients rho , kappa , xi and sigma , whose nominal values are rho = kappa = xi = 0.0200 and sigma = 0.0100 ( row d ) ; the mortality coefficient tau , whose nominal value is tau = 0.0100 ( row e ) .","NN,NN,VBG,DT,NN,IN,VBG,,,IN,NN,CD,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,RB,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,JJ,NN,CD,CD,-LRB-,NN,DT,-RRB-,:,DT,VBG,NNS,NN,CC,NN,VBG,TO,JJ,NNS,,,WP$,JJ,NNS,VBP,NN,CD,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,CD,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NNS,VBP,,,NN,,,NN,CC,NN,,,WP$,JJ,NNS,VBP,NN,JJ,NN,JJ,NN,JJ,CD,CC,NN,JJ,CD,-LRB-,NN,NN,-RRB-,:,DT,NN,NN,NN,,,WP$,JJ,NN,VBZ,NN,JJ,CD,-LRB-,NN,SYM,-RRB-,.","O,O,O,O,O,O,O,O,O,DURATION,NUMBER,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,NUMBER,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,B-GreekLetter,O,B-GreekLetter,O,NUMBER,O,B-GreekLetter,O,NUMBER,O,O,O,O,O,O,O,O,B-GreekLetter,O,O,O,O,O,B-GreekLetter,O,NUMBER,O,O,O,O,O","B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-NP,I-NP,I-NP,I-NP,B-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,O,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,O"
