event_id,event,ctx,dist,sentence_text,tags,entities,chunks
E:1158695828,number increased,spain,2,"Italy has in fact fewer nurses than nearly all western European countries ( excluding Spain ) , with 5.8 nurses per 1000 population compared to the European average of 8.5 .","NNP,VBZ,IN,NN,JJR,NNS,IN,RB,DT,JJ,JJ,NNS,-LRB-,VBG,NNP,-RRB-,,,IN,CD,NNS,IN,CD,NN,VBN,TO,DT,JJ,NN,IN,CD,.","COUNTRY,O,O,O,O,O,O,O,O,O,NATIONALITY,O,O,O,COUNTRY,O,O,O,NUMBER,O,O,DATE,O,O,O,O,NATIONALITY,O,O,NUMBER,O","B-NP,B-VP,B-PP,B-NP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,I-VP,B-NP,I-NP,O,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,O"
E:-1668495985,outbreak of SARS-CoV-2 has unevenly affected Italian regions,italian,0,"The outbreak of SARS-CoV-2 has unevenly affected Italian regions , with a clear north-south gradient .","DT,NN,IN,NN,VBZ,RB,VBN,JJ,NNS,,,IN,DT,JJ,JJ,NN,.","O,O,O,O,O,O,O,NATIONALITY,O,O,O,O,O,O,O,O","B-NP,I-NP,B-PP,B-NP,B-VP,I-VP,I-VP,B-NP,I-NP,O,B-PP,B-NP,I-NP,I-NP,I-NP,O"
E:1038914529,"31st January 2020, the Italian Government declared",italian,0,"On 31st January 2020 , the Italian Government declared a national emergency in order to be able to face the incoming COVID-19 crisis .","IN,JJ,NNP,CD,,,DT,JJ,NN,VBD,DT,JJ,NN,IN,NN,TO,VB,JJ,TO,VB,DT,JJ,NN,NN,.","O,DATE,DATE,DATE,O,O,NATIONALITY,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,O,O,O","B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-SBAR,O,B-VP,I-VP,B-ADJP,B-VP,I-VP,B-NP,I-NP,I-NP,I-NP,O"
E:-2045881973,"2005, the WHO issued",italy,0,"In 2005 , the WHO issued a list of recommendations ( WHO , 2020 ) for updating and developing a national pandemic plan , following which the Ministry of Health in Italy developed a ' National Plan for Preparation and Response to an Influenza Pandemic ' ( Ministero della Salute , 2006 ) , defining objectives and activities , agreed with the regions , to be https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press carried out to prevent and cope with a future pandemic throughout the national territory .","IN,CD,,,DT,WP,VBD,DT,NN,IN,NNS,-LRB-,WP,,,CD,-RRB-,IN,VBG,CC,VBG,DT,JJ,JJ,NN,,,VBG,WDT,DT,NNP,IN,NNP,IN,NNP,VBD,DT,'',NNP,NNP,IN,NNP,CC,NNP,TO,DT,NNP,NN,'',-LRB-,NNP,FW,FW,,,CD,-RRB-,,,VBG,NNS,CC,NNS,,,VBD,IN,DT,NNS,,,TO,VB,NN,VBN,NN,IN,NNP,NNP,NNP,VBD,RP,TO,VB,CC,VB,IN,DT,JJ,NN,IN,DT,JJ,NN,.","O,DATE,O,O,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,MISC,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,URL,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O","B-PP,B-NP,O,B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,B-VP,B-NP,O,B-NP,I-NP,B-PP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,O,O,B-PP,B-NP,B-PP,B-NP,B-VP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-VP,B-NP,I-NP,I-NP,O,B-VP,B-PP,B-NP,I-NP,O,B-VP,I-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-PRT,B-VP,I-VP,I-VP,I-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,O"
E:-648141576,"new National Preparedness Plan (PanFlu 2021-2023),",italy,7,"In 2005 , the WHO issued a list of recommendations ( WHO , 2020 ) for updating and developing a national pandemic plan , following which the Ministry of Health in Italy developed a ' National Plan for Preparation and Response to an Influenza Pandemic ' ( Ministero della Salute , 2006 ) , defining objectives and activities , agreed with the regions , to be https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press carried out to prevent and cope with a future pandemic throughout the national territory .","IN,CD,,,DT,WP,VBD,DT,NN,IN,NNS,-LRB-,WP,,,CD,-RRB-,IN,VBG,CC,VBG,DT,JJ,JJ,NN,,,VBG,WDT,DT,NNP,IN,NNP,IN,NNP,VBD,DT,'',NNP,NNP,IN,NNP,CC,NNP,TO,DT,NNP,NN,'',-LRB-,NNP,FW,FW,,,CD,-RRB-,,,VBG,NNS,CC,NNS,,,VBD,IN,DT,NNS,,,TO,VB,NN,VBN,NN,IN,NNP,NNP,NNP,VBD,RP,TO,VB,CC,VB,IN,DT,JJ,NN,IN,DT,JJ,NN,.","O,DATE,O,O,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,MISC,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,URL,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O","B-PP,B-NP,O,B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,B-VP,B-NP,O,B-NP,I-NP,B-PP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,O,O,B-PP,B-NP,B-PP,B-NP,B-VP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-VP,B-NP,I-NP,I-NP,O,B-VP,B-PP,B-NP,I-NP,O,B-VP,I-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-PRT,B-VP,I-VP,I-VP,I-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,O"
E:1899714711,new plan includes an explicit monitoring function of the implementation of the plan,italy,9,"In 2005 , the WHO issued a list of recommendations ( WHO , 2020 ) for updating and developing a national pandemic plan , following which the Ministry of Health in Italy developed a ' National Plan for Preparation and Response to an Influenza Pandemic ' ( Ministero della Salute , 2006 ) , defining objectives and activities , agreed with the regions , to be https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press carried out to prevent and cope with a future pandemic throughout the national territory .","IN,CD,,,DT,WP,VBD,DT,NN,IN,NNS,-LRB-,WP,,,CD,-RRB-,IN,VBG,CC,VBG,DT,JJ,JJ,NN,,,VBG,WDT,DT,NNP,IN,NNP,IN,NNP,VBD,DT,'',NNP,NNP,IN,NNP,CC,NNP,TO,DT,NNP,NN,'',-LRB-,NNP,FW,FW,,,CD,-RRB-,,,VBG,NNS,CC,NNS,,,VBD,IN,DT,NNS,,,TO,VB,NN,VBN,NN,IN,NNP,NNP,NNP,VBD,RP,TO,VB,CC,VB,IN,DT,JJ,NN,IN,DT,JJ,NN,.","O,DATE,O,O,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,MISC,O,O,O,O,O,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,URL,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,O,O,O,O,O,O,O,DATE,O,O,O,O,O,O","B-PP,B-NP,O,B-NP,I-NP,B-VP,B-NP,I-NP,B-PP,B-NP,B-VP,B-NP,O,B-NP,I-NP,B-PP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,O,O,B-PP,B-NP,B-PP,B-NP,B-VP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-VP,B-NP,I-NP,I-NP,O,B-VP,B-PP,B-NP,I-NP,O,B-VP,I-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-PRT,B-VP,I-VP,I-VP,I-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,O"
E:-765456869,those affected by chronic conditions,italy,14,"At the time of writing , Italy was still experiencing a daily rise of COVID-19 cases and related deaths , which led to the re-introduction of movement restrictions , curfews and early daily closures of businesses .","IN,DT,NN,IN,VBG,,,NNP,VBD,RB,VBG,DT,JJ,NN,IN,NN,NNS,CC,JJ,NNS,,,WDT,VBD,TO,DT,NN,IN,NN,NNS,,,NNS,CC,JJ,JJ,NNS,IN,NNS,.","O,O,DATE,O,O,O,COUNTRY,O,O,O,O,SET,O,O,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,SET,O,O,O,O","B-PP,B-NP,I-NP,B-PP,B-VP,O,B-NP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,O,B-NP,I-NP,O,B-NP,B-VP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,O,B-NP,O,B-NP,I-NP,I-NP,B-PP,B-NP,O"
E:485826745,"reimbursement codes, which caused the occurrence of inter-regional differences",italy,1,"Telemedicine in Italy has been traditionally delivered using several applications , poorly interconnected and with inconsistent local and regional reimbursement practices .","NNP,IN,NNP,VBZ,VBN,RB,VBN,VBG,JJ,NNS,,,RB,VBN,CC,IN,JJ,JJ,CC,JJ,NN,NNS,.","O,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-NP,B-PP,B-NP,B-VP,I-VP,I-VP,I-VP,B-VP,B-NP,I-NP,O,B-ADVP,B-VP,O,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O"
E:-1225991413,"General Data Protection Regulation (GDPR),",italy,0,"The COVID-19 crisis boosted the digitisation process in Italy , thanks to a relaxation of usual red tapes ( General Data Protection Regulation ( GDPR ) , procurement rules and organisational resistance ) in two ways .","DT,NN,NN,VBD,DT,NN,NN,IN,NNP,,,NNS,TO,DT,NN,IN,JJ,JJ,NNS,-LRB-,NNP,NNP,NNP,NN,-LRB-,NN,-RRB-,,,NN,NNS,CC,JJ,NN,-RRB-,IN,CD,NNS,.","O,MISC,O,O,O,O,O,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,TITLE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O","B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,O,B-ADVP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,O,B-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O"
E:-1002533524,it led to further investments in technological infrastructure necessary,italy,3,"The COVID-19 crisis boosted the digitisation process in Italy , thanks to a relaxation of usual red tapes ( General Data Protection Regulation ( GDPR ) , procurement rules and organisational resistance ) in two ways .","DT,NN,NN,VBD,DT,NN,NN,IN,NNP,,,NNS,TO,DT,NN,IN,JJ,JJ,NNS,-LRB-,NNP,NNP,NNP,NN,-LRB-,NN,-RRB-,,,NN,NNS,CC,JJ,NN,-RRB-,IN,CD,NNS,.","O,MISC,O,O,O,O,O,O,COUNTRY,O,O,O,O,O,O,O,O,O,O,TITLE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O","B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,O,B-ADVP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,O,B-NP,I-NP,B-VP,B-PP,B-NP,I-NP,O"
