event_id,event,ctx,dist,sentence_text,tags,entities,chunks
E:-1325102996,Current government instructions are based on a three-tier regional risk assessment,covid-19 outbreak,1,"The first wave of the COVID-19 outbreak and related deaths were mainly concentrated in the northern regions , the second wave has spread more widely geographically , facilitated by the easing of the lockdown restrictions , especially on movement , implemented in June and subsequent summer holidays .","DT,JJ,NN,IN,DT,NN,NN,CC,JJ,NNS,VBD,RB,VBN,IN,DT,JJ,NNS,,,DT,JJ,NN,VBZ,VBN,RBR,RB,RB,,,VBN,IN,DT,NN,IN,DT,NN,NNS,,,RB,IN,NN,,,VBN,IN,NNP,CC,JJ,NN,NNS,.","O,ORDINAL,O,O,O,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,ORDINAL,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,DATE,O,O,DATE,O,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,I-VP,I-VP,B-PP,B-NP,I-NP,I-NP,O,B-NP,I-NP,I-NP,B-VP,I-VP,B-ADVP,I-ADVP,B-ADVP,O,B-VP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,O,B-ADVP,B-PP,B-NP,O,B-VP,B-PP,B-NP,O,B-NP,I-NP,I-NP,O"
E:-170867264,mean rate of 13.3 emergency admissions per day,covid-19 outbreak,0,"A retrospective analysis of patients admitted for acute coronary syndrome at 15 hospitals in northern Italy during the early days of the COVID-19 outbreak revealed a mean rate of 13.3 emergency admissions per day compared to the 18.9 admissions during the previous year ( incidence rate ratio , 0.70 ; 95 % CI , 0.63 to 0.78 ; p < 0.001 ) ( De Filippo et al ., 2020 ) .","DT,JJ,NN,IN,NNS,VBN,IN,JJ,JJ,NN,IN,CD,NNS,IN,JJ,NNP,IN,DT,JJ,NNS,IN,DT,NN,NN,VBD,DT,JJ,NN,IN,CD,NN,NNS,IN,NN,VBN,TO,DT,CD,NNS,IN,DT,JJ,NN,-LRB-,NN,NN,NN,,,CD,:,CD,NN,NN,,,CD,TO,CD,:,NN,JJR,CD,-RRB-,-LRB-,NNP,NNP,FW,FW,FW,CD,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O,O,COUNTRY,O,DURATION,DURATION,DURATION,O,O,MISC,O,O,O,O,O,O,NUMBER,O,O,O,DURATION,O,O,O,NUMBER,O,O,DATE,DATE,DATE,O,O,O,O,O,NUMBER,O,PERCENT,PERCENT,O,O,NUMBER,O,NUMBER,O,O,O,NUMBER,O,O,O,O,O,O,O,DATE,O,O","B-NP,I-NP,I-NP,B-PP,B-NP,B-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,B-PP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,O,B-NP,I-NP,I-NP,O,B-NP,B-PP,B-NP,O,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O"
E:1775953113,"incidence rate ratio, 0.70; 95% CI, 0.63 to 0.78; p < 0.001",covid-19 outbreak,0,"A retrospective analysis of patients admitted for acute coronary syndrome at 15 hospitals in northern Italy during the early days of the COVID-19 outbreak revealed a mean rate of 13.3 emergency admissions per day compared to the 18.9 admissions during the previous year ( incidence rate ratio , 0.70 ; 95 % CI , 0.63 to 0.78 ; p < 0.001 ) ( De Filippo et al ., 2020 ) .","DT,JJ,NN,IN,NNS,VBN,IN,JJ,JJ,NN,IN,CD,NNS,IN,JJ,NNP,IN,DT,JJ,NNS,IN,DT,NN,NN,VBD,DT,JJ,NN,IN,CD,NN,NNS,IN,NN,VBN,TO,DT,CD,NNS,IN,DT,JJ,NN,-LRB-,NN,NN,NN,,,CD,:,CD,NN,NN,,,CD,TO,CD,:,NN,JJR,CD,-RRB-,-LRB-,NNP,NNP,FW,FW,FW,CD,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O,O,COUNTRY,O,DURATION,DURATION,DURATION,O,O,MISC,O,O,O,O,O,O,NUMBER,O,O,O,DURATION,O,O,O,NUMBER,O,O,DATE,DATE,DATE,O,O,O,O,O,NUMBER,O,PERCENT,PERCENT,O,O,NUMBER,O,NUMBER,O,O,O,NUMBER,O,O,O,O,O,O,O,DATE,O,O","B-NP,I-NP,I-NP,B-PP,B-NP,B-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,B-PP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,O,B-NP,I-NP,I-NP,O,B-NP,B-PP,B-NP,O,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O"
E:-170867264,mean rate of 13.3 emergency admissions per day,during the early days of the covid-19 outbreak,0,"A retrospective analysis of patients admitted for acute coronary syndrome at 15 hospitals in northern Italy during the early days of the COVID-19 outbreak revealed a mean rate of 13.3 emergency admissions per day compared to the 18.9 admissions during the previous year ( incidence rate ratio , 0.70 ; 95 % CI , 0.63 to 0.78 ; p < 0.001 ) ( De Filippo et al ., 2020 ) .","DT,JJ,NN,IN,NNS,VBN,IN,JJ,JJ,NN,IN,CD,NNS,IN,JJ,NNP,IN,DT,JJ,NNS,IN,DT,NN,NN,VBD,DT,JJ,NN,IN,CD,NN,NNS,IN,NN,VBN,TO,DT,CD,NNS,IN,DT,JJ,NN,-LRB-,NN,NN,NN,,,CD,:,CD,NN,NN,,,CD,TO,CD,:,NN,JJR,CD,-RRB-,-LRB-,NNP,NNP,FW,FW,FW,CD,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O,O,COUNTRY,O,DURATION,DURATION,DURATION,O,O,MISC,O,O,O,O,O,O,NUMBER,O,O,O,DURATION,O,O,O,NUMBER,O,O,DATE,DATE,DATE,O,O,O,O,O,NUMBER,O,PERCENT,PERCENT,O,O,NUMBER,O,NUMBER,O,O,O,NUMBER,O,O,O,O,O,O,O,DATE,O,O","B-NP,I-NP,I-NP,B-PP,B-NP,B-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,B-PP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,O,B-NP,I-NP,I-NP,O,B-NP,B-PP,B-NP,O,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O"
E:1775953113,"incidence rate ratio, 0.70; 95% CI, 0.63 to 0.78; p < 0.001",during the early days of the covid-19 outbreak,0,"A retrospective analysis of patients admitted for acute coronary syndrome at 15 hospitals in northern Italy during the early days of the COVID-19 outbreak revealed a mean rate of 13.3 emergency admissions per day compared to the 18.9 admissions during the previous year ( incidence rate ratio , 0.70 ; 95 % CI , 0.63 to 0.78 ; p < 0.001 ) ( De Filippo et al ., 2020 ) .","DT,JJ,NN,IN,NNS,VBN,IN,JJ,JJ,NN,IN,CD,NNS,IN,JJ,NNP,IN,DT,JJ,NNS,IN,DT,NN,NN,VBD,DT,JJ,NN,IN,CD,NN,NNS,IN,NN,VBN,TO,DT,CD,NNS,IN,DT,JJ,NN,-LRB-,NN,NN,NN,,,CD,:,CD,NN,NN,,,CD,TO,CD,:,NN,JJR,CD,-RRB-,-LRB-,NNP,NNP,FW,FW,FW,CD,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,NUMBER,O,O,O,COUNTRY,O,DURATION,DURATION,DURATION,O,O,MISC,O,O,O,O,O,O,NUMBER,O,O,O,DURATION,O,O,O,NUMBER,O,O,DATE,DATE,DATE,O,O,O,O,O,NUMBER,O,PERCENT,PERCENT,O,O,NUMBER,O,NUMBER,O,O,O,NUMBER,O,O,O,O,O,O,O,DATE,O,O","B-NP,I-NP,I-NP,B-PP,B-NP,B-VP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,B-PP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,O,B-NP,I-NP,I-NP,O,B-NP,B-PP,B-NP,O,B-NP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O"
E:-765456869,those affected by chronic conditions,2020,4,"14 % in Lombardy , between 1st February and 14th April , of which about 37.4 % of ficially due to COVID-19 ( Istituto Superiore di Sanita , 2020 ) .","CD,NN,IN,NNP,,,IN,CD,NNP,CC,JJ,NNP,,,IN,WDT,IN,CD,NN,IN,RB,JJ,TO,NN,-LRB-,NNP,NNP,NNP,NNP,,,CD,-RRB-,.","PERCENT,PERCENT,O,LOCATION,O,O,DATE,DATE,O,DATE,DATE,O,O,O,O,PERCENT,PERCENT,O,O,O,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,DATE,O,O","B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,O"
E:485826745,"reimbursement codes, which caused the occurrence of inter-regional differences",2020,8,"14 % in Lombardy , between 1st February and 14th April , of which about 37.4 % of ficially due to COVID-19 ( Istituto Superiore di Sanita , 2020 ) .","CD,NN,IN,NNP,,,IN,CD,NNP,CC,JJ,NNP,,,IN,WDT,IN,CD,NN,IN,RB,JJ,TO,NN,-LRB-,NNP,NNP,NNP,NNP,,,CD,-RRB-,.","PERCENT,PERCENT,O,LOCATION,O,O,DATE,DATE,O,DATE,DATE,O,O,O,O,PERCENT,PERCENT,O,O,O,O,O,O,ORGANIZATION,ORGANIZATION,ORGANIZATION,ORGANIZATION,O,DATE,O,O","B-NP,I-NP,B-PP,B-NP,O,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-PP,B-NP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,O"
E:166257913,"which, if completed, will result in a more than doubled overall pre-pandemic capacity",2020,0,"A further 30 % expansion ( almost 2400 beds ) to the already expanded ICU bed numbers has been planned ( April 2020 ) which , if completed , will result in a more than doubled overall pre-pandemic capacity .","DT,JJ,CD,NN,NN,-LRB-,RB,CD,NNS,-RRB-,TO,DT,RB,VBN,NNP,NN,NNS,VBZ,VBN,VBN,-LRB-,NNP,CD,-RRB-,WDT,,,IN,VBN,,,MD,VB,IN,DT,JJR,IN,VBD,JJ,JJ,NN,.","O,O,PERCENT,PERCENT,O,O,O,NUMBER,O,O,O,O,O,O,O,O,O,O,O,O,O,DATE,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-SBAR,B-VP,O,B-VP,I-VP,B-PP,O,B-ADVP,I-ADVP,B-VP,B-NP,I-NP,I-NP,O"
E:-1691729564,needs were dependent on the epidemiological development and severity of the COVID-19 outbreak,2020,1,"A further 30 % expansion ( almost 2400 beds ) to the already expanded ICU bed numbers has been planned ( April 2020 ) which , if completed , will result in a more than doubled overall pre-pandemic capacity .","DT,JJ,CD,NN,NN,-LRB-,RB,CD,NNS,-RRB-,TO,DT,RB,VBN,NNP,NN,NNS,VBZ,VBN,VBN,-LRB-,NNP,CD,-RRB-,WDT,,,IN,VBN,,,MD,VB,IN,DT,JJR,IN,VBD,JJ,JJ,NN,.","O,O,PERCENT,PERCENT,O,O,O,NUMBER,O,O,O,O,O,O,O,O,O,O,O,O,O,DATE,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,B-VP,I-VP,I-VP,B-NP,I-NP,I-NP,I-NP,I-NP,O,B-SBAR,B-VP,O,B-VP,I-VP,B-PP,O,B-ADVP,I-ADVP,B-VP,B-NP,I-NP,I-NP,O"
E:-1995612470,capacity to treat surgical patients decrease,2020,0,"Most regional health care systems have seen the capacity to treat surgical patients decrease dramatically because of the reallocation of resources to the pandemic response , and following government 's advice to suspend all non urgent elective surgery ( Mayol and Fernandez Perez , 2020 ) .","JJS,JJ,NN,NN,NNS,VBP,VBN,DT,NN,TO,VB,JJ,NNS,VBP,RB,IN,IN,DT,NN,IN,NNS,TO,DT,JJ,NN,,,CC,VBG,NN,POS,NN,TO,VB,DT,JJ,JJ,JJ,NN,-LRB-,NNP,CC,NNP,NNP,,,CD,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,O,PERSON,O,PERSON,PERSON,O,DATE,O,O","B-NP,I-NP,I-NP,I-NP,I-NP,B-VP,I-VP,B-NP,I-NP,B-VP,I-VP,B-NP,I-NP,B-VP,B-ADVP,B-PP,I-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,I-NP,O,O,B-PP,B-NP,B-NP,I-NP,B-VP,I-VP,B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,B-NP,I-NP,O"
