event_id,event,ctx,dist,sentence_text,tags,entities,chunks
E:-2099349734,set of coronavirus mediated epidemics that affected pigs,beijing,17,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:-234630779,"It is based on the high mutation and  recombination rate of  coronaviruses [2], and on the observation",beijing,19,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:-978116680,it would cause gastroenteritis,beijing,22,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:133243356,"We also explore the possible situation where  viruses A and  B would be of totally different origin, but would cause an overlapping immune response of  the host",beijing,24,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:1892020837,many possibilities based on virus behavior,beijing,3,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:527339462,"SARS [14], a coronavirus",beijing,6,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:1600242282,virus and its variant caused a double epidemic,beijing,6,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:-1787604617,nature of the virus that causes SARS,beijing,6,Figure 9 Number of SARS cases per day in Beijing Number of SARS cases per day in Beijing .,"NNP,CD,NN,IN,NN,NNS,IN,NN,IN,NNP,NN,IN,NN,NNS,IN,NN,IN,NNP,.","O,NUMBER,O,O,O,O,O,DURATION,O,CITY,O,O,O,O,O,DURATION,O,CITY,O","B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,O"
E:568001232,the so called Susceptible-Infected-Removed (SIR) model which is simple and useful when one tries to understand the propagation of many real-life epidemics,beijing,10,"BMC Infectious Diseases 2003 , 3 country , and with people who are highly connected both in terms of travelling and communication , and in genetic background , between the number of cases , as illustrated by the difference between the number of SARS cases in Beijing ( in thousands ) and in Shanghai ( in tens at most ) .","NNP,JJ,NNS,CD,,,CD,NN,,,CC,IN,NNS,WP,VBP,RB,VBN,CC,IN,NNS,IN,VBG,CC,NN,,,CC,IN,JJ,NN,,,IN,DT,NN,IN,NNS,,,IN,VBN,IN,DT,NN,IN,DT,NN,IN,NN,NNS,IN,NNP,-LRB-,IN,NNS,-RRB-,CC,IN,NNP,-LRB-,IN,NNS,IN,JJS,-RRB-,.","O,O,CAUSE_OF_DEATH,DATE,O,NUMBER,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CITY,O,O,O,O,O,O,CITY,O,O,O,O,O,O,O","B-NP,I-NP,I-NP,I-NP,I-NP,I-NP,I-NP,O,O,B-PP,B-NP,B-NP,B-VP,I-VP,I-VP,O,B-PP,B-NP,B-PP,B-NP,I-NP,I-NP,O,O,B-PP,B-NP,I-NP,O,B-PP,B-NP,I-NP,B-PP,B-NP,O,B-SBAR,B-VP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-NP,I-NP,O"
E:1700240650,mathematical models can have several functions,beijing,41,"Various consequences of the spreading pattern of this double epidemic hypothesis are discussed in relation with the puzzling distribution of the disease in Mainland China , noticeably , in the huge difference witnessed between the situation in Beijing and in Shanghai ( both regions have tight and frequent contacts with Guangdong and Hong Kong ) .","JJ,NNS,IN,DT,NN,NN,IN,DT,JJ,JJ,NN,VBP,VBN,IN,NN,IN,DT,JJ,NN,IN,DT,NN,IN,NNP,NNP,,,RB,,,IN,DT,JJ,NN,VBD,IN,DT,NN,IN,NNP,CC,IN,NNP,-LRB-,CC,NNS,VBP,JJ,CC,JJ,NNS,IN,NNP,CC,NNP,NNP,-RRB-,.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CAUSE_OF_DEATH,O,LOCATION,COUNTRY,O,O,O,O,O,O,O,O,O,O,O,O,CITY,O,O,CITY,O,O,O,O,O,O,O,O,O,STATE_OR_PROVINCE,O,CITY,CITY,O,O","B-NP,I-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,I-NP,I-NP,B-VP,I-VP,B-PP,B-NP,B-PP,B-NP,I-NP,I-NP,B-PP,B-NP,I-NP,B-PP,B-NP,I-NP,O,B-ADVP,O,B-PP,B-NP,I-NP,I-NP,B-VP,B-PP,B-NP,I-NP,B-PP,B-NP,B-PP,B-PP,B-NP,I-NP,I-NP,I-NP,B-VP,B-NP,I-NP,I-NP,I-NP,B-PP,B-NP,O,O,O,O,O"
