,doc_id,annotated_page_num,para_num,event_id,event,locationContext,sentence_text,temporalContext,explanation,pg_num,blk_id,sentence_id,doc_sentence_count,doc_sent_linear_order,linear_order
2335,-2086197316,1.0,1.0,E:-881320914,"presence of  widespread testing and  contact tracing, which would strongly contribute to a rapid resolution of the epidemic",Italy,"in,the,presence,of,widespread,testing,and,contact,tracing,,,which,would,strongly,contribute,to,a,rapid,resolution,of,the,epidemic,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,4,6,4,28,123,2336
2358,-2086197316,4.0,4.0,E:859304604,Healthcare workers are more the actual CFR,,"Healthcare,workers,are,more,the,actual,CFR,(,total,number,of,deaths,due,to,the,infection,,,divided,likely,to,be,exposed,and,their,risk,of,infection,is,increased,,,as,supby,the,total,number,of,infected,people,),and,the,perceived,CFR,ported,by,reports,from,China31,,32,suggesting,that,disease,amplifica,(,number,of,deaths,ascribed,to,the,infection,,,divided,by,the,number,tion,in,healthcare,settings,will,occur,despite,restrictive,measures,.",,mixed up lines between the two columns.,4,6,7,28,126,2359
2492,-2086197316,4.0,3.0,E:1133564818,"standard molecular methods to detect the presence of SARS-CoV-2 in respiand nature, predicting for each the timing and magnitude of the ratory samples are based on non-specific real-time polymerase epidemic peak",,"Concerning,diagnostic,tests,for,COVID-19,,,currently,,,standard,molecular,methods,to,detect,the,presence,of,SARS-CoV-2,in,respiand,nature,,,predicting,for,each,the,timing,and,magnitude,of,the,ratory,samples,are,based,on,non,specific,real-time,polymerase,epidemic,peak,,,including,the,peak,of,ICU,admissions,.",,mixed up lines between the two columns.,4,6,14,28,133,2493
2710,-2086197316,4.0,6.0,E:-1012477728,partial implementation of  lockdown measures results in a delay in the peak of infected individuals and patients admitted to the ICU,Italy,"According,to,our,findings,,,a,partial,implementation,of,lockdown,measures,results,in,a,delay,in,the,peak,of,infected,individuals,and,patients,admitted,to,the,ICU,,,contrasting,with,an,only,moderate,decrease,in,the,total,number,of,infected,individuals,and,ICU,admissions,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,4,6,26,28,145,2711
1963,-1990816971,30.0,1.0,E:49835453,"life-threatening symptoms, whose nominal values are mu=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1964
1964,-1990816971,30.0,1.0,E:1501142740,"relevant symptoms, whose nominal values are zeta=",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1965
1966,-1990816971,30.0,1.0,E:1070247140,"tau, whose nominal value is",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1967
1968,-1990816971,30.0,1.0,E:542665628,"tau, whose nominal value is",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1969
1969,-1990816971,30.0,1.0,E:1768449968,tau = 0.0100,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1970
1971,-1990816971,30.0,1.0,E:-101166514,tau =,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1972
