,doc_id,sentence_id,sentence_text,raw_text,text,sno
0,-100047078,0,6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients .,6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients .,"6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",1
1,-100047078,1,This has meant also increasing working hours and length of shifts for medical and nursing staff on duty .,This has meant also increasing working hours and length of shifts for medical and nursing staff on duty .,"6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",2
2,-100047078,2,"The emergency magnified , therefore , all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover .","The emergency magnified , therefore , all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",3
3,-100047078,3,"Italy , as many other OECD countries , had been suffering from both workforce shortages in the health care sector ( CERGAS Bocconi , 2019 ) and an ageing medical workforce ( OECD , 2019 ) for some time .","Italy , as many other OECD countries , had been suffering from both workforce shortages in the health care sector ( CERGAS Bocconi , 2019 ) and an ageing medical workforce ( OECD , 2019 ) for some time .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",4
4,-100047078,4,"According to the OECD Health at a Glance Indicators ( OECD , 2019 ) , in 2017 Italy had the largest share ( 55 vs 34 % OECD average ) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36 % between 2000 and 2017 .","According to the OECD Health at a Glance Indicators ( OECD , 2019 ) , in 2017 Italy had the largest share ( 55 vs 34 % OECD average ) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36 % between 2000 and 2017 .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",5
5,-100047078,5,"However , the issue of workforce shortages is especially true in the case of nurses .","However , the issue of workforce shortages is especially true in the case of nurses .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",6
6,-100047078,6,"Italy has in fact fewer nurses than nearly all western European countries ( excluding Spain ) , with 5.8 nurses per 1000 population compared to the European average of 8.5 .","Italy has in fact fewer nurses than nearly all western European countries ( excluding Spain ) , with 5.8 nurses per 1000 population compared to the European average of 8.5 .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",7
7,-100047078,7,"And while Italy fares better compared to their European peers in terms of medical professionals ( 4.0 doctors per 1000 population compared with the EU average of 3.6 ) , Italy has the lowest doctor-to-nurse ratio in the OECD ( 1.4 nurses per doctor ) ( OECD / European Observatory on Health Systems and Policies , 2019 ) .","And while Italy fares better compared to their European peers in terms of medical professionals ( 4.0 doctors per 1000 population compared with the EU average of 3.6 ) , Italy has the lowest doctor-to-nurse ratio in the OECD ( 1.4 nurses per doctor ) ( OECD / European Observatory on Health Systems and Policies , 2019 ) .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",8
8,-100047078,8,"Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse ( the number increased to 13,000 in 2014 from a low 3100 ) , the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN , with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants ( 57 nurses , 19 doctors and 19 other technical staff ) .","Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse ( the number increased to 13,000 in 2014 from a low 3100 ) , the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN , with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants ( 57 nurses , 19 doctors and 19 other technical staff ) .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",9
9,-100047078,9,"The shortage of nurses and medical doctors front lining the emergency response , also in light of the high number of nurses and medical professionals testing positive to COVID-19 ( Bellizzi et al ., 2020 ) , forced the Government to introduce several measures ( DL , 2020a , 2020b ; DPCM , 2020b ) in order to face the rapidly rising demand of extra medical and other health care personnel .","The shortage of nurses and medical doctors front lining the emergency response , also in light of the high number of nurses and medical professionals testing positive to COVID-19 ( Bellizzi et al ., 2020 ) , forced the Government to introduce several measures ( DL , 2020a , 2020b ; DPCM , 2020b ) in order to face the rapidly rising demand of extra medical and other health care personnel .","6.1.4 Workforce shortages The effort to expand production capacity to be able to treat COVID-19 patients has been accompanied by the need to stop most elective health care activities and shift personnel to the acute and intensive care of COVID-19 patients.
This has meant also increasing working hours and length of shifts for medical and nursing staff on duty.
The emergency magnified, therefore, all the negative consequences of the extensive underfunding of the Italian health care system and of the stop in workforce turnover.
Italy, as many other OECD countries, had been suffering from both workforce shortages in the health care sector (CERGAS Bocconi, 2019) and an ageing medical workforce (OECD, 2019) for some time.
According to the OECD Health at a Glance Indicators (OECD, 2019), in 2017 Italy had the largest share (55 vs 34% OECD average) of medical doctors aged 55 and over among all OECD countries - a share which increased by 36% between 2000 and 2017.
However, the issue of workforce shortages is especially true in the case of nurses.
Italy has in fact fewer nurses than nearly all western European countries (excluding Spain), with 5.8 nurses per 1000 population compared to the European average of 8.5.
And while Italy fares better compared to their European peers in terms of medical professionals (4.0 doctors per 1000 population compared with the EU average of 3.6), Italy has the lowest doctor-to-nurse ratio in the OECD (1.4 nurses per doctor) (OECD/European Observatory on Health Systems and Policies, 2019).
Despite recent attempts by the Italian government to address this imbalance through increasing the number of students training to become nurse (the number increased to 13,000 in 2014 from a low 3100), the COVID-19 crisis has heightened the shortage of health care professionals suffered by the SSN, with a pre-COVID-19 incidence of medical personnel of about 95 workers per 10,000 inhabitants (57 nurses, 19 doctors and 19 other technical staff).
The shortage of nurses and medical doctors front lining the emergency response, also in light of the high number of nurses and medical professionals testing positive to COVID-19 (Bellizzi et al., 2020), forced the Government to introduce several measures (DL, 2020a, 2020b; DPCM, 2020b) in order to face the rapidly rising demand of extra medical and other health care personnel.
These measures included inter-regional redistribution of health care personnel, the re-hiring of retired medics, nurses and other health care professionals, the creation of faster recruitment tracks, the possibility to employ personnel on a freelance basis, the hiring of 20,000 health care professionals (3.5% growth in the health workforce): the new hires comprised of more than 4300 additional medical doctors, mainly anaesthesiologists; around 9700 nurses; and 6000 other health care professionals, mainly technical personnel (Aimone Gigio et al., 2020).
Further measures included the allocation of 250 million EUR to pay for staff overtime, the possibility for health care facilities to postpone retirement for eligible staff, the possibility for retired doctors and nurses to return to practice on a voluntary basis (in the peak of the crisis in https://doi.org/10.1017/S1744133121000141 Published online by Cambridge University Press .",10
