,doc_id,sentence_id,sentence_text,raw_text,text,sno
0,-1004527071,0,Background Since November 2002 ( and perhaps earlier ) an outbreak of a very contagious atypical pneumonia ( now named Severe Acute Respiratory Syndrome ) initiated in the Guangdong Province of China .,Background Since November 2002 ( and perhaps earlier ) an outbreak of a very contagious atypical pneumonia ( now named Severe Acute Respiratory Syndrome ) initiated in the Guangdong Province of China .,"Background Since November 2002 (and perhaps earlier) an outbreak of  a very contagious atypical pneumonia (now named Severe Acute Respiratory Syndrome) initiated in the Guangdong Province of  China.
This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st, 2003 (SAR Hong Kong, China).
Although apparently classical in its onset, the pattern of  the outbreak became puzzling after an estate in Hong Kong was affected, with a huge number of patients infected by  the virus apparently causing the disease.
In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .",1
1,-1004527071,1,"This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st , 2003 ( SAR Hong Kong , China ) .","This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st , 2003 ( SAR Hong Kong , China ) .","Background Since November 2002 (and perhaps earlier) an outbreak of  a very contagious atypical pneumonia (now named Severe Acute Respiratory Syndrome) initiated in the Guangdong Province of  China.
This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st, 2003 (SAR Hong Kong, China).
Although apparently classical in its onset, the pattern of  the outbreak became puzzling after an estate in Hong Kong was affected, with a huge number of patients infected by  the virus apparently causing the disease.
In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .",2
2,-1004527071,2,"Although apparently classical in its onset , the pattern of the outbreak became puzzling after an estate in Hong Kong was affected , with a huge number of patients infected by the virus apparently causing the disease .","Although apparently classical in its onset , the pattern of the outbreak became puzzling after an estate in Hong Kong was affected , with a huge number of patients infected by the virus apparently causing the disease .","Background Since November 2002 (and perhaps earlier) an outbreak of  a very contagious atypical pneumonia (now named Severe Acute Respiratory Syndrome) initiated in the Guangdong Province of  China.
This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st, 2003 (SAR Hong Kong, China).
Although apparently classical in its onset, the pattern of  the outbreak became puzzling after an estate in Hong Kong was affected, with a huge number of patients infected by  the virus apparently causing the disease.
In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .",3
3,-1004527071,3,In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .,In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .,"Background Since November 2002 (and perhaps earlier) an outbreak of  a very contagious atypical pneumonia (now named Severe Acute Respiratory Syndrome) initiated in the Guangdong Province of  China.
This outbreak started a world-wide epidemic after a medical doctor from Guangzhou infected several persons at an hotel in Kowloon around February 21st, 2003 (SAR Hong Kong, China).
Although apparently classical in its onset, the pattern of  the outbreak became puzzling after an estate in Hong Kong was affected, with a huge number of patients infected by  the virus apparently causing the disease.
In particular it appeared that underlying this highly focused outbreak there remained a more or less constant .",4
4,-1016821133,0,"( ii ) The gain in the exposed class E is at a rate proportional to the number of people in the infective class I and that of the susceptibles S , that is rS ( t ) I ( t ) , where r > 0 is a constant .","( ii ) The gain in the exposed class E is at a rate proportional to the number of people in the infective class I and that of the susceptibles S , that is rS ( t ) I ( t ) , where r > 0 is a constant .","(ii) The gain in the exposed class E is at a rate proportional to the number of people in the infective class I and that of the susceptibles S, that is rS(t)I(t), where  r > 0 is a constant.",5
5,-1149379126,0,"BMC infectious diseases 2003 , 3:19 .","BMC infectious diseases 2003 , 3:19 .","BMC infectious diseases 2003, 3:19 .",6
6,-1175220357,0,"Conclusion : We find that , in order to reconcile the existing data and the spread of the disease , it is convenient to suggest that a first milder outbreak protected against the SARS .","Conclusion : We find that , in order to reconcile the existing data and the spread of the disease , it is convenient to suggest that a first milder outbreak protected against the SARS .","Conclusion: We find that, in order to reconcile the existing data and the spread of the disease, it is convenient to suggest that a first milder outbreak protected against the SARS.
Regions that had not seen the first epidemic, or that were affected simultaneously with the SARS suffered much more, with a very high percentage of persons affected.
We also find regions where the data appear to be inconsistent, suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients.
Finally, we could, within the framework of the model, fix limits to the future development of the epidemic, allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic.
The model also suggests that there might exist a SARS precursor in a large reservoir, prompting for implementation of precautionary measures when the weather cools down.",7
7,-1175220357,1,"Regions that had not seen the first epidemic , or that were affected simultaneously with the SARS suffered much more , with a very high percentage of persons affected .","Regions that had not seen the first epidemic , or that were affected simultaneously with the SARS suffered much more , with a very high percentage of persons affected .","Conclusion: We find that, in order to reconcile the existing data and the spread of the disease, it is convenient to suggest that a first milder outbreak protected against the SARS.
Regions that had not seen the first epidemic, or that were affected simultaneously with the SARS suffered much more, with a very high percentage of persons affected.
We also find regions where the data appear to be inconsistent, suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients.
Finally, we could, within the framework of the model, fix limits to the future development of the epidemic, allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic.
The model also suggests that there might exist a SARS precursor in a large reservoir, prompting for implementation of precautionary measures when the weather cools down.",8
8,-1175220357,2,"We also find regions where the data appear to be inconsistent , suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients .","We also find regions where the data appear to be inconsistent , suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients .","Conclusion: We find that, in order to reconcile the existing data and the spread of the disease, it is convenient to suggest that a first milder outbreak protected against the SARS.
Regions that had not seen the first epidemic, or that were affected simultaneously with the SARS suffered much more, with a very high percentage of persons affected.
We also find regions where the data appear to be inconsistent, suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients.
Finally, we could, within the framework of the model, fix limits to the future development of the epidemic, allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic.
The model also suggests that there might exist a SARS precursor in a large reservoir, prompting for implementation of precautionary measures when the weather cools down.",9
9,-1175220357,3,"Finally , we could , within the framework of the model , fix limits to the future development of the epidemic , allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic .","Finally , we could , within the framework of the model , fix limits to the future development of the epidemic , allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic .","Conclusion: We find that, in order to reconcile the existing data and the spread of the disease, it is convenient to suggest that a first milder outbreak protected against the SARS.
Regions that had not seen the first epidemic, or that were affected simultaneously with the SARS suffered much more, with a very high percentage of persons affected.
We also find regions where the data appear to be inconsistent, suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients.
Finally, we could, within the framework of the model, fix limits to the future development of the epidemic, allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic.
The model also suggests that there might exist a SARS precursor in a large reservoir, prompting for implementation of precautionary measures when the weather cools down.",10
10,-1175220357,4,"The model also suggests that there might exist a SARS precursor in a large reservoir , prompting for implementation of precautionary measures when the weather cools down .","The model also suggests that there might exist a SARS precursor in a large reservoir , prompting for implementation of precautionary measures when the weather cools down .","Conclusion: We find that, in order to reconcile the existing data and the spread of the disease, it is convenient to suggest that a first milder outbreak protected against the SARS.
Regions that had not seen the first epidemic, or that were affected simultaneously with the SARS suffered much more, with a very high percentage of persons affected.
We also find regions where the data appear to be inconsistent, suggesting that they are incomplete or do not reflect an appropriate identification of SARS patients.
Finally, we could, within the framework of the model, fix limits to the future development of the epidemic, allowing us to identify landmarks that may be useful to set up a monitoring system to follow the evolution of the epidemic.
The model also suggests that there might exist a SARS precursor in a large reservoir, prompting for implementation of precautionary measures when the weather cools down.",11
11,-1218779747,0,"BMC Infectious Diseases 2003 , 3 s e s a c f o r e b m u N how the daily contact patterns of people .","BMC Infectious Diseases 2003 , 3 s e s a c f o r e b m u N how the daily contact patterns of people .","BMC Infectious Diseases 2003, 3 s e s a c f o r e b m u N how the daily contact patterns of  people.
The usual number of social contacts of a person is in general higher in big cities like Beijing and Hong Kong while lower in remote area like Inner Mongolia.
This may explain the difference of the r and rP values in these cases.",12
12,-1218779747,1,The usual number of social contacts of a person is in general higher in big cities like Beijing and Hong Kong while lower in remote area like Inner Mongolia .,The usual number of social contacts of a person is in general higher in big cities like Beijing and Hong Kong while lower in remote area like Inner Mongolia .,"BMC Infectious Diseases 2003, 3 s e s a c f o r e b m u N how the daily contact patterns of  people.
The usual number of social contacts of a person is in general higher in big cities like Beijing and Hong Kong while lower in remote area like Inner Mongolia.
This may explain the difference of the r and rP values in these cases.",13
